PRODUCT_NAME,PRODUCT_PRICE,PRODUCT_FEATURES,PRODUCT_RATING
  Bose Frames Rondo  ,$199.95 ," Sunglasses with open-ear audio for music, integrated mic for calls. ",Rated 4.2 out of 5 stars by 10 customers
  Bose Frames Alto  ,$199.95 ," Iconically styled sunglasses with open-ear audio for music, integrated mic for calls. ",Rated 3.9 out of 5 stars by 29 customers
  ProFlight Aviation Headset  ,$995.95 ," In ear, noise reduction, clear audio, audio/communication interface ",Rated 3.5 out of 5 stars by 61 customers
  QuietComfort 35 wireless headphones   ,$349.95 ," Adjustable noise cancelling, voice assistants built in, up to 20 hours battery life ",Rated 4.0 out of 5 stars by 454 customers
  SoundSport Free wireless headphones  ,$199.95 ," Truly wireless, water resistant, 5 hours of battery life ",Rated 3.5 out of 5 stars by 1088 customers
  Bose noise-masking sleepbuds™  ,$249.95 ," Truly wireless, noise-masking sleepbuds, all-night comfort, up to 16 hours of battery life ",Rated 3.8 out of 5 stars by 450 customers
  SoundSport wireless headphones  ,$149.95 ," Water resistant, 6 hours battery life ",Rated 3.3 out of 5 stars by 1271 customers
  Custom QuietComfort 35 wireless headphones   ,$399.95 ," Custom color with VPA built-in, noise cancelling, wireless, plays up to 20 hours ",Rated 4.4 out of 5 stars by 23 customers
  QC25 noise cancelling headphones – Apple devices  ,$179.95 ," Noise cancelling, lightweight fit, inline mic/remote ",Rated 3.8 out of 5 stars by 516 customers
  SoundLink® around-ear wireless headphones   ,$229.95 ," Wireless, Bluetooth® controls, 2-way mic system ",Rated 4.2 out of 5 stars by 283 customers
  SoundWear Companion speaker  ,$299.95 ," Wearable speaker with deep, clear sound for music and calls. Plays up to 12 hours. Sweat/weather resistant. ",Rated 4.6 out of 5 stars by 153 customers
  Bose on-ear wireless headphones  ,$179.95 ," Lightweight, wireless, 10 hours of battery life ",Rated 3.8 out of 5 stars by 47 customers
